N iter1 iter2 matriz
604 0.000173 0.000135 0.001702
605 0.000178 0.000136 0.001702
606 0.000174 0.000136 0.001702
607 0.000179 0.000137 0.001714
608 0.000174 0.000137 0.001733
609 0.000175 0.000136 0.001714
610 0.000174 0.000138 0.001718
611 0.000175 0.000138 0.001722
612 0.000176 0.000138 0.001721
613 0.000174 0.000137 0.00172
614 0.000175 0.000137 0.001733
615 0.000175 0.000139 0.001743
616 0.000176 0.000138 0.001741
617 0.000175 0.000139 0.001732
618 0.000176 0.000139 0.001744
619 0.000176 0.000139 0.001738
620 0.000176 0.000139 0.001746
621 0.000195 0.000139 0.001749
622 0.000177 0.00014 0.001761
623 0.000178 0.00014 0.001753
624 0.000178 0.00014 0.001758
625 0.000179 0.000141 0.001758
626 0.000178 0.00014 0.001775
627 0.000178 0.000145 0.001778
628 0.000179 0.000141 0.001771
629 0.00018 0.000141 0.001766
630 0.000179 0.000141 0.001773
631 0.000179 0.000141 0.001788
632 0.000193 0.000142 0.001836
633 0.000182 0.000147 0.001785
634 0.000181 0.000142 0.001787
635 0.000181 0.000143 0.001788
636 0.000181 0.000143 0.001784
637 0.000181 0.000143 0.001794
638 0.000181 0.000143 0.001791
639 0.000182 0.000144 0.001813
640 0.000183 0.000143 0.001801
641 0.000183 0.000144 0.001812
642 0.000184 0.000144 0.00181
643 0.000183 0.000145 0.00185
644 0.000184 0.000144 0.00183
645 0.000184 0.000151 0.001818
646 0.000184 0.000146 0.001819
647 0.000185 0.000145 0.001818
648 0.000184 0.000146 0.00183
649 0.000184 0.000146 0.001828
650 0.000184 0.000146 0.001844
651 0.000185 0.000146 0.00183
652 0.000186 0.000147 0.001837
653 0.000185 0.000147 0.001834
654 0.000185 0.000147 0.001845
655 0.000208 0.000147 0.001851
656 0.000193 0.000153 0.001854
657 0.000187 0.000147 0.001857
658 0.000188 0.000147 0.001853
659 0.000187 0.000148 0.001868
660 0.000188 0.000148 0.00186
661 0.000189 0.000149 0.001876
662 0.000189 0.000149 0.00187
663 0.000188 0.000149 0.001874
664 0.000189 0.000149 0.001864
665 0.000189 0.000149 0.001888
666 0.000198 0.00015 0.001886
667 0.000191 0.00015 0.001883
668 0.000191 0.00015 0.001882
669 0.00019 0.00015 0.001881
670 0.00019 0.000151 0.001898
671 0.000191 0.000151 0.001896
672 0.000191 0.000151 0.001893
673 0.000191 0.000151 0.001909
674 0.000197 0.000152 0.001898
675 0.000192 0.000151 0.001899
676 0.000193 0.000152 0.001927
677 0.000194 0.000152 0.001925
678 0.000193 0.000152 0.001906
679 0.000192 0.000152 0.001915
680 0.000193 0.000153 0.001913
681 0.000193 0.000157 0.001912
682 0.000195 0.000154 0.001919
683 0.000199 0.000156 0.001929
684 0.000194 0.000154 0.001932
685 0.000195 0.000163 0.001936
686 0.000199 0.000155 0.00196
687 0.000195 0.000154 0.001964
688 0.000202 0.000155 0.002058
689 0.000199 0.000155 0.002119
690 0.000224 0.000174 0.001943
691 0.000198 0.000155 0.001956
692 0.000198 0.000156 0.001972
693 0.000211 0.000156 0.002001
694 0.000199 0.000156 0.001977
695 0.000198 0.000156 0.001998
696 0.000199 0.000157 0.001986
697 0.000199 0.000157 0.001967
698 0.000198 0.000178 0.002395
699 0.000279 0.00021 0.002051
700 0.000217 0.000157 0.002128
701 0.000205 0.000158 0.002599
702 0.000226 0.000163 0.002015
703 0.000201 0.000158 0.001976
704 0.0002 0.000158 0.001994
705 0.000202 0.000158 0.001991
706 0.000202 0.000159 0.002022
707 0.000203 0.000159 0.002016
708 0.000202 0.000159 0.001984
709 0.0002 0.000159 0.002007
710 0.000201 0.00016 0.002009
711 0.000202 0.00016 0.001996
712 0.000202 0.00016 0.002012
713 0.000216 0.000161 0.002013
714 0.000203 0.000161 0.002022
715 0.000209 0.000161 0.00203
716 0.000204 0.000161 0.002018
717 0.000203 0.000162 0.002498
718 0.000249 0.00021 0.003249
719 0.000286 0.000213 0.00263
720 0.000222 0.000163 0.002074
721 0.000266 0.000163 0.002063
722 0.000222 0.000162 0.002036
723 0.000224 0.000163 0.002036
